,pathological_score
148,42.926180590238516
149,42.71335118120021
150,41.23967753208149
151,40.48129550016455
152,42.2226571420353
153,42.15395546934246
154,38.47454763661062
155,33.70339361989636
156,31.32203664605413
157,28.15356141746861
158,28.467091738900763
159,30.117865336555383
160,45.64538117408574
161,45.59681141022338
162,43.98164695698483
163,41.16374810566583
164,42.19352343862681
165,41.32181695388368
166,40.36636029475176
167,41.13651779271663
168,42.776463669271436
169,41.53669023931883
170,37.07098900868857
171,32.174196569553715
172,29.247956046174295
173,28.974707399714816
174,28.94048988690372
175,47.88626400131761
176,46.24828817213711
177,44.01446156352904
178,43.23581633211688
179,44.9851928958509
180,41.23099492239248
181,36.071013450303724
182,40.46806528568965
183,38.42283262827806
184,41.71266375778799
185,37.699384797400626
186,35.12664409254285
187,29.107357088025765
188,29.620845422022057
189,31.471804978355067
190,30.051394323839986
191,39.659892336976554
192,44.82814334119212
193,43.70080509011132
194,42.44874993626695
195,39.26250199519501
196,34.94354250742475
197,40.26037958874724
198,33.308525914442555
199,38.19962966617112
200,39.24718634242197
201,36.21636403455284
202,31.728742334433946
203,29.72706135557246
204,27.798172072346006
205,29.36061709444857
206,42.472448981106936
207,36.396917139347806
208,40.70475119439152
209,42.955456685393756
210,37.7934224040132
211,34.378452555611716
212,31.505275991146675
213,31.70477282287294
214,31.805927990311034
215,34.40902478865837
216,35.480206221788535
217,29.834609989234195
218,27.899339069767848
219,30.721082216683726
220,28.016106528444595
221,34.73577863883861
222,40.952509908311185
223,37.21621372452546
224,41.252486143275746
225,30.416641681009082
226,29.81290512339143
227,33.01109381829548
228,30.296648974481855
229,32.965123148247244
230,34.09759966752972
231,30.386771845076055
232,29.889431678293477
233,28.2789624321083
234,30.19515444159424
235,29.91108135877809
236,29.817712299077925
237,31.785336925815955
238,32.09115292249862
239,45.68380637492737
240,32.951583824103636
241,30.640119212168315
242,28.65708161523912
243,31.789723452018848
244,30.448839969116648
245,31.96695904365754
246,30.190936412395786
247,27.205296336489937
248,29.077527227678956
249,27.19592079893971
250,28.90816930974438
251,29.483465927809505
252,33.661228669876664
253,33.008342020571035
254,43.2048437278695
255,27.7678678033908
256,29.743675348782972
257,29.184211436532337
258,29.11604759448494
259,28.621758007091103
260,31.73415678611491
261,27.812687275661574
262,29.655479153120723
263,30.635877943342393
264,28.34573943808607
265,31.188284702805902
266,31.075938874079156
267,30.186943542662448
268,46.47306885644866
269,39.388530009682654
270,31.14956670367519
271,32.71933048467872
272,28.25484189509666
273,27.93289983430327
274,31.003821303897894
275,28.780396558170196
276,28.401318538379883
277,26.921145199943908
278,30.422687789298664
279,29.06988390101546
280,29.487974059676958
281,30.29660403959724
282,45.34026155142783
283,30.616890508633787
284,28.80044767180152
285,28.201406211690028
286,27.960854283799108
287,27.472017635079737
288,27.868673222712914
289,29.00844964851217
290,26.520503209209778
291,25.706036687277845
292,29.03762504902687
293,30.474931877439815
294,31.16966815146327
295,45.25036490721277
296,38.49257769112455
297,34.06237329357964
298,29.864508077639584
